1	3,1,7;2,1,10;11,2,7;1,2,10;9,3,9;7,4,10;6,5,8;13,5,10;16,5,9;5,6,6;15,7,6;19,7,6;0,9,9;29,10,6;25,10,6;27,11,7;17,11,9;20,12,9;24,13,9;37,14,9;32,14,7;26,16,10;43,16,8;40,17,10;39,18,8;31,18,9;36,20,6;30,20,10;46,20,7;42,21,10;56,21,8;55,22,9;44,23,7;59,23,10;49,24,9;45,25,10;58,25,10;48,26,6;52,26,9;57,29,9
2	4,1,10;10,1,8;1,3,7;11,3,7;12,3,7;2,5,9;5,5,8;13,7,6;7,8,10;14,9,7;17,9,9;29,11,7;26,12,10;28,12,9;24,13,10;22,14,7;19,14,7;23,14,10;25,15,9;35,15,6;32,15,6;30,16,8;40,17,7;21,18,6;42,19,9;33,20,8;43,20,9;39,22,7;54,22,10;31,23,7;58,23,6;36,24,8;51,25,8;57,26,8;53,27,6;46,27,6;59,27,7;52,28,6;56,29,9;45,30,7
3	11,1,8;3,2,7;8,2,7;4,3,8;1,4,7;7,5,7;10,5,9;6,6,9;12,7,10;15,7,7;17,11,6;14,12,9;20,12,10;29,12,10;25,13,8;19,13,7;18,14,9;28,14,10;27,16,6;31,16,6;24,19,9;43,19,6;44,20,6;34,20,8;39,22,6;32,23,7;42,24,8;36,24,10;53,24,7;40,25,7;55,25,8;41,28,8;46,28,6;50,28,6;49,29,6;51,30,7;47,32,6;45,33,6;59,33,7;52,34,9
4	8,1,8;10,2,10;3,2,7;11,3,8;12,5,9;1,5,9;2,6,10;9,7,9;0,8,6;29,8,10;6,9,9;27,9,6;22,10,9;17,11,8;28,11,6;15,11,9;18,12,9;25,13,6;34,13,6;23,14,8;35,14,7;20,15,10;38,15,7;40,16,7;39,16,10;42,17,6;30,17,7;36,19,9;53,19,10;32,20,9;33,21,8;45,21,9;51,21,8;47,22,7;55,23,7;50,24,10;49,24,8;54,25,7;56,27,9;59,28,7
5	6,1,10;3,1,8;9,2,6;4,2,7;10,3,6;5,3,10;14,4,7;0,4,8;1,5,10;20,5,6;27,7,6;11,8,8;18,9,9;21,9,8;16,10,9;25,10,7;17,11,8;19,12,10;15,13,9;36,14,7;35,15,6;44,15,7;34,16,8;43,16,6;26,17,8;32,17,8;42,17,8;41,18,10;30,19,7;52,19,10;56,20,10;40,21,10;57,21,9;45,22,8;55,23,8;48,23,10;59,26,6;47,26,8;54,27,9;58,29,8
6	3,1,6;1,3,10;5,4,8;6,5,8;0,5,9;11,6,10;9,6,8;2,7,6;4,8,7;21,10,10;17,11,6;20,11,7;13,12,10;16,12,8;26,12,6;18,13,8;29,14,7;27,15,7;24,16,6;37,16,7;25,17,9;35,17,6;44,17,6;34,18,10;30,18,7;38,19,10;39,20,8;41,20,6;36,21,7;59,21,6;57,21,9;51,22,8;58,22,7;31,23,7;46,23,9;52,25,9;45,26,8;49,26,7;53,27,9;47,28,7
7	9,1,6;0,1,8;14,2,8;8,3,6;13,3,9;10,4,6;4,4,7;12,5,10;5,6,6;19,6,8;26,8,9;11,9,8;22,9,7;20,10,6;17,11,7;21,11,10;15,12,10;25,12,7;44,12,8;41,13,10;35,14,6;23,15,7;36,15,9;16,16,10;37,17,9;32,17,10;43,17,7;42,18,9;47,18,7;34,19,6;38,20,8;56,20,7;48,20,9;51,21,7;49,23,7;52,23,7;59,26,7;55,26,8;57,27,9;58,29,7
8	8,1,9;11,1,8;4,1,7;2,2,10;13,2,10;7,3,8;12,5,6;0,5,7;25,5,8;9,6,8;10,7,6;20,7,9;16,8,8;29,8,8;21,8,10;24,9,9;17,9,10;22,10,10;28,11,10;23,14,7;38,14,6;39,14,9;30,16,8;36,20,8;32,21,10;31,21,10;35,22,6;42,22,7;48,23,8;37,24,10;51,24,6;44,25,7;52,25,7;58,25,8;59,26,8;47,27,10;45,28,7;53,29,10;54,30,10;56,31,9
9	6,1,10;10,4,8;8,5,10;14,5,6;11,5,10;12,6,10;0,6,10;13,6,10;5,7,10;19,7,9;21,8,7;1,9,9;16,9,8;20,9,6;23,10,10;25,10,8;28,10,8;22,12,8;32,13,6;30,15,6;29,16,7;39,16,7;26,17,6;35,17,7;40,18,8;31,18,10;41,19,10;33,19,7;56,19,9;37,20,6;54,20,6;38,21,9;51,23,8;50,23,7;49,23,6;52,24,6;58,25,7;59,26,7;53,26,7;57,28,6
10	
